,Temp,Species,Family,region,Crosstype,N,mean,sd,se,ci,Mom,Dad
46,HOT,A.ten,DAV6xDAV1,central,Individual,9,77.40740741,20.32908274,6.776360912,15.62631629,Davies6,Davies1
47,HOT,A.ten,DAV8xDAV10,central,Individual,9,75.46296296,26.86485956,8.954953186,20.65015908,Davies8,Davies10
48,HOT,A.ten,DAV8xDAV6,central,Individual,8,54.88095238,24.71312569,8.737409378,20.66069011,Davies8,Davies6
49,HOT,A.ten,JEW2xDAV8,hybrid,Individual,3,66.66666667,57.73502692,33.33333333,143.4217577,Jewell2,Davies8
50,HOT,A.ten,JEW2xJEW8,north,Individual,8,77.70833333,34.14415635,12.07178225,28.54522906,Jewell2,Jewell8
51,HOT,A.ten,JEW2xPAL1,hybrid,Individual,9,50.74074074,29.6637535,9.887917833,22.80157941,Jewell2,Palms1
52,HOT,A.ten,JEW2xPAL4,hybrid,Individual,6,80.55555556,30.58079765,12.48455836,32.09257896,Jewell2,Palms4
53,HOT,A.ten,JEW3xDAV1,hybrid,Individual,9,70.19400353,36.04369931,12.01456644,27.70563989,Jewell3,Davies1
54,HOT,A.ten,JEW3xPAL1,hybrid,Individual,9,82.5,25.73907535,8.579691784,19.78480473,Jewell3,Palms1
55,HOT,A.ten,JEW5xPAL4,hybrid,Individual,8,72.5,36.54742516,12.92146608,30.55441206,Jewell5,Palms4
56,HOT,A.ten,JEW5xPAL5,hybrid,Individual,6,91.66666667,20.41241452,8.333333333,21.4215153,Jewell5,Palms5
57,HOT,A.ten,JEW6xPAL1,hybrid,Individual,6,75,29.34469477,11.97992147,30.79536853,Jewell6,Palms1
58,HOT,A.ten,JEW6xPAL4,hybrid,Individual,6,74.4047619,38.75726835,15.82258855,40.67325872,Jewell6,Palms4
59,HOT,A.ten,JEW7xDAV1,hybrid,Individual,8,78.42261905,34.2585251,12.11221771,28.64084373,Jewell7,Davies1
60,HOT,A.ten,JEW8xDAV1,hybrid,Individual,15,71.41570303,34.46610501,8.899110048,19.08669277,Jewell8,Davies1
