gene,r,p_adj
aten_0.1.m1.9203.m1,2,1
aten_0.1.m1.9203.m1,2,1
aten_0.1.m1.7290.m1,0,1
aten_0.1.m1.4530.m1,-11,0.407410228
aten_0.1.m1.6520.m1,0,1
aten_0.1.m1.19441.m1,0,1
aten_0.1.m1.21027.m1,0,1
aten_0.1.m1.21027.m1,0,1
aten_0.1.m1.26033.m1,-11,0.022231772
aten_0.1.m1.15831.m1,0,1
aten_0.1.m1.30355.m1,-5,1
aten_0.1.m1.25184.m1,5,0.993433057
aten_0.1.m1.6846.m1,-1,1
aten_0.1.m1.14776.m1,22,0.0297157
aten_0.1.m1.14776.m1,22,0.0297157
aten_0.1.m1.11104.m1,0,1
aten_0.1.m1.11104.m1,0,1
aten_0.1.m1.23922.m1,0,1
aten_0.1.m1.23922.m1,0,1
aten_0.1.m1.12936.m1,-14,0.235563322
aten_0.1.m1.12936.m1,-14,0.235563322
aten_0.1.m1.13550.m1,0,1
aten_0.1.m1.13550.m1,0,1
aten_0.1.m1.13478.m1,13,0.082841021
aten_0.1.m1.4784.m1,-22,0.011408932
aten_0.1.m1.1262.m1,0,1
aten_0.1.m1.32170.m1,0,1
aten_0.1.m1.9718.m1,-8,0.082841021
aten_0.1.m1.9710.m1,0,1
aten_0.1.m1.25612.m1,1,1
aten_0.1.m1.25612.m1,1,1
aten_0.1.m1.598.m1,7,0.992876843
aten_0.1.m1.598.m1,7,0.992876843
aten_0.1.m1.598.m1,0,1
aten_0.1.m1.598.m1,0,1
aten_0.1.m1.14820.m1,0,1
aten_0.1.m1.14820.m1,0,1
aten_0.1.m1.6728.m1,-1,1
aten_0.1.m1.20327.m1,13,0.205980253
aten_0.1.m1.20327.m1,13,0.205980253
aten_0.1.m1.26949.m1,-6,1
aten_0.1.m1.26949.m1,-6,1
aten_0.1.m1.6664.m1,2,1
aten_0.1.m1.6664.m1,2,1
aten_0.1.m1.9406.m1,0,1
aten_0.1.m1.9406.m1,0,1
aten_0.1.m1.2036.m1,-24,0.024409781
aten_0.1.m1.15156.m1,-6,1
aten_0.1.m1.15156.m1,-6,1
aten_0.1.m1.33909.m1,-1,1
aten_0.1.m1.33909.m1,-1,1
aten_0.1.m1.6665.m1,5,1
aten_0.1.m1.6665.m1,5,1
aten_0.1.m1.2545.m1,6,0.958489725
aten_0.1.m1.2545.m1,6,0.958489725
aten_0.1.m1.13562.m1,20,0.046715106
aten_0.1.m1.713.m1,0,1
aten_0.1.m1.13577.m1,-19,0.041567311
aten_0.1.m1.33351.m1,0,1
aten_0.1.m1.33351.m1,0,1
aten_0.1.m1.9203.m1,0,1
aten_0.1.m1.9203.m1,0,1
aten_0.1.m1.28779.m1,0,1
aten_0.1.m1.31097.m1,0,1
aten_0.1.m1.29986.m1,4,1
aten_0.1.m1.29986.m1,4,1
aten_0.1.m1.4861.m1,15,0.149700079
aten_0.1.m1.18303.m1,-12,0.365974035
aten_0.1.m1.7800.m1,9,0.225787622
aten_0.1.m1.11275.m1,10,0.59504063
aten_0.1.m1.22912.m1,0,1
aten_0.1.m1.22912.m1,0,1
aten_0.1.m1.22912.m1,-7,1
aten_0.1.m1.22912.m1,-7,1
aten_0.1.m1.22296.m1,1,1
aten_0.1.m1.1985.m1,-4,1
aten_0.1.m1.1985.m1,-4,1
aten_0.1.m1.5419.m1,0,1
aten_0.1.m1.5419.m1,0,1
aten_0.1.m1.30253.m1,0,1
aten_0.1.m1.27202.m1,24,0.024409781
aten_0.1.m1.8720.m1,0,1
aten_0.1.m1.8720.m1,0,1
aten_0.1.m1.11037.m1,0,1
aten_0.1.m1.25925.m1,-8,0.982867425
aten_0.1.m1.9039.m1,0,1
aten_0.1.m1.25572.m1,0,1
aten_0.1.m1.25572.m1,0,1
aten_0.1.m1.3807.m1,0,1
aten_0.1.m1.3475.m1,10,0.030051604
aten_0.1.m1.25544.m1,-14,0.288759194
aten_0.1.m1.25544.m1,-14,0.288759194
aten_0.1.m1.1362.m1,-14,0.0043086
aten_0.1.m1.15201.m1,-1,1
aten_0.1.m1.15201.m1,-1,1
aten_0.1.m1.26124.m1,0,1
aten_0.1.m1.21176.m1,0,1
aten_0.1.m1.15502.m1,-4,1
aten_0.1.m1.15502.m1,-4,1
aten_0.1.m1.15537.m1,-5,1
aten_0.1.m1.26345.m1,0,1
aten_0.1.m1.26345.m1,0,1
aten_0.1.m1.9423.m1,-7,0.779650108
aten_0.1.m1.9101.m1,-14,0.320835368
aten_0.1.m1.9101.m1,-14,0.320835368
aten_0.1.m1.10142.m1,-8,0.082841021
aten_0.1.m1.10142.m1,-8,0.082841021
aten_0.1.m1.23808.m1,0,1
aten_0.1.m1.8720.m1,3,0.823946746
aten_0.1.m1.12674.m1,0,1
aten_0.1.m1.7105.m1,0,1
aten_0.1.m1.29658.m1,9,0.779650108
aten_0.1.m1.8585.m1,0,1
aten_0.1.m1.33442.m1,-3,1
aten_0.1.m1.33442.m1,-3,1
aten_0.1.m1.11152.m1,0,1
aten_0.1.m1.7244.m1,-13,0.030051604
aten_0.1.m1.7244.m1,-13,0.030051604
aten_0.1.m1.8181.m1,0,1
aten_0.1.m1.2057.m1,-2,1
aten_0.1.m1.5084.m1,16,0.052123187
aten_0.1.m1.5084.m1,5,0.358799898
aten_0.1.m1.5520.m1,-1,1
aten_0.1.m1.7339.m1,21,0.058932477
aten_0.1.m1.10782.m1,0,1
aten_0.1.m1.10782.m1,0,1
aten_0.1.m1.16196.m1,17,0.000649686
aten_0.1.m1.16196.m1,17,0.000649686
aten_0.1.m1.10960.m1,0,1
aten_0.1.m1.33571.m1,0,1
aten_0.1.m1.17979.m1,-7,1
aten_0.1.m1.17979.m1,-7,1
aten_0.1.m1.27099.m1,0,1
aten_0.1.m1.7618.m1,0,1
aten_0.1.m1.8723.m1,-10,0.458998164
aten_0.1.m1.33053.m1,7,1
aten_0.1.m1.33053.m1,7,1
aten_0.1.m1.21078.m1,10,0.745503719
aten_0.1.m1.13766.m1,0,1
aten_0.1.m1.13766.m1,0,1
aten_0.1.m1.32158.m1,3,1
aten_0.1.m1.18072.m1,0,1
aten_0.1.m1.13483.m1,4,1
aten_0.1.m1.13483.m1,4,1
aten_0.1.m1.5964.m1,0,1
aten_0.1.m1.16217.m1,0,1
aten_0.1.m1.16217.m1,0,1
aten_0.1.m1.7694.m1,-4,1
aten_0.1.m1.6329.m1,0,1
aten_0.1.m1.6336.m1,0,1
aten_0.1.m1.4301.m1,-9,0.566425697
aten_0.1.m1.33799.m1,0,1
aten_0.1.m1.2858.m1,4,0.779650108
aten_0.1.m1.2858.m1,4,0.779650108
aten_0.1.m1.3332.m1,-26,4.59856082099987e-05
aten_0.1.m1.32150.m1,-12,0.365974035
aten_0.1.m1.32150.m1,-12,0.365974035
aten_0.1.m1.32150.m1,7,1
aten_0.1.m1.14699.m1,0,1
aten_0.1.m1.14699.m1,0,1
aten_0.1.m1.13439.m1,-25,0.00244442
aten_0.1.m1.13439.m1,-7,0.958489725
aten_0.1.m1.29498.m1,9,0.831861091
aten_0.1.m1.16056.m1,15,0.111508339
aten_0.1.m1.7110.m1,0,1
aten_0.1.m1.11731.m1,-1,1
aten_0.1.m1.1451.m1,2,1
aten_0.1.m1.11861.m1,0,1
aten_0.1.m1.4688.m1,-5,0.993433057
aten_0.1.m1.10388.m1,0,1
aten_0.1.m1.9391.m1,-12,0.365974035
aten_0.1.m1.9391.m1,-12,0.365974035
aten_0.1.m1.24257.m1,7,1
aten_0.1.m1.16490.m1,0,1
aten_0.1.m1.18946.m1,-17,0.000649686
aten_0.1.m1.18946.m1,-17,0.000649686
aten_0.1.m1.27989.m1,29,1.02708361016275e-06
aten_0.1.m1.16294.m1,7,0.919324265
aten_0.1.m1.11486.m1,-3,1
aten_0.1.m1.18016.m1,0,1
aten_0.1.m1.18016.m1,0,1
aten_0.1.m1.5515.m1,12,0.5400878
aten_0.1.m1.5513.m1,2,1
aten_0.1.m1.5523.m1,2,1
aten_0.1.m1.29552.m1,-7,0.992876843
aten_0.1.m1.29552.m1,-7,0.992876843
aten_0.1.m1.24749.m1,-4,1
aten_0.1.m1.14517.m1,7,1
aten_0.1.m1.14517.m1,7,1
aten_0.1.m1.16392.m1,-11,0.458998164
aten_0.1.m1.16392.m1,-11,0.458998164
aten_0.1.m1.12604.m1,19,0.033156494
aten_0.1.m1.12605.m1,-4,1
aten_0.1.m1.10978.m1,0,1
aten_0.1.m1.10978.m1,0,1
aten_0.1.m1.31989.m1,19,0.041567311
aten_0.1.m1.4176.m1,0,1
aten_0.1.m1.4176.m1,0,1
aten_0.1.m1.29958.m1,0,1
aten_0.1.m1.9692.m1,2,1
aten_0.1.m1.9692.m1,2,1
aten_0.1.m1.4696.m1,20,0.074790324
aten_0.1.m1.22443.m1,0,1
aten_0.1.m1.29503.m1,10,0.745503719
aten_0.1.m1.29503.m1,3,0.823946746
aten_0.1.m1.10204.m1,0,1
aten_0.1.m1.10204.m1,0,1
aten_0.1.m1.25666.m1,6,0.745503719
aten_0.1.m1.25666.m1,6,0.745503719
aten_0.1.m1.1906.m1,3,1
aten_0.1.m1.10914.m1,4,1
aten_0.1.m1.29592.m1,-3,0.823946746
aten_0.1.m1.29592.m1,-3,0.823946746
aten_0.1.m1.10261.m1,-1,1
aten_0.1.m1.10155.m1,-1,1
aten_0.1.m1.10155.m1,-1,1
aten_0.1.m1.33733.m1,10,0.503957807
aten_0.1.m1.5652.m1,2,1
aten_0.1.m1.1401.m1,10,0.439138548
aten_0.1.m1.5958.m1,0,1
aten_0.1.m1.3042.m1,10,0.503957807
aten_0.1.m1.27354.m1,5,1
aten_0.1.m1.12046.m1,-5,1
aten_0.1.m1.12046.m1,-5,1
aten_0.1.m1.12039.m1,4,1
aten_0.1.m1.12039.m1,4,1
aten_0.1.m1.19485.m1,0,1
aten_0.1.m1.20203.m1,-15,0.274275637
aten_0.1.m1.20203.m1,-15,0.274275637
aten_0.1.m1.3577.m1,11,0.458998164
aten_0.1.m1.21144.m1,21,0.009011813
aten_0.1.m1.29201.m1,7,0.992876843
aten_0.1.m1.881.m1,0,1
aten_0.1.m1.881.m1,0,1
aten_0.1.m1.28539.m1,0,1
aten_0.1.m1.17501.m1,0,1
aten_0.1.m1.7908.m1,18,0.024409781
aten_0.1.m1.7908.m1,18,0.024409781
aten_0.1.m1.7908.m1,-7,1
aten_0.1.m1.7908.m1,-7,1
aten_0.1.m1.1704.m1,1,1
aten_0.1.m1.28539.m1,-21,0.058932477
aten_0.1.m1.32884.m1,-7,1
aten_0.1.m1.32884.m1,-7,1
aten_0.1.m1.6993.m1,-12,0.287999804
aten_0.1.m1.16869.m1,3,1
aten_0.1.m1.9006.m1,-4,1
aten_0.1.m1.32765.m1,24,0.024409781
aten_0.1.m1.32765.m1,24,0.024409781
aten_0.1.m1.15968.m1,0,1
aten_0.1.m1.4253.m1,0,1
aten_0.1.m1.31935.m1,0,1
aten_0.1.m1.31935.m1,0,1
aten_0.1.m1.32313.m1,10,0.59504063
aten_0.1.m1.32313.m1,10,0.59504063
aten_0.1.m1.7901.m1,5,1
aten_0.1.m1.11543.m1,12,0.365974035
aten_0.1.m1.11543.m1,12,0.365974035
aten_0.1.m1.11669.m1,-7,1
aten_0.1.m1.29305.m1,-3,1
aten_0.1.m1.9414.m1,-16,0.089528301
aten_0.1.m1.9414.m1,-16,0.089528301
aten_0.1.m1.26602.m1,0,1
aten_0.1.m1.17385.m1,-1,1
aten_0.1.m1.17385.m1,-1,1
aten_0.1.m1.20021.m1,4,1
aten_0.1.m1.16799.m1,7,0.958489725
aten_0.1.m1.16799.m1,7,0.958489725
aten_0.1.m1.21207.m1,0,1
aten_0.1.m1.1839.m1,17,0.132548977
aten_0.1.m1.18938.m1,12,0.365974035
aten_0.1.m1.30387.m1,-4,1
aten_0.1.m1.650.m1,15,0.247263243
aten_0.1.m1.650.m1,15,0.247263243
aten_0.1.m1.31530.m1,-9,0.566425697
aten_0.1.m1.31834.m1,5,1
aten_0.1.m1.22993.m1,-19,0.105466953
aten_0.1.m1.22993.m1,-19,0.105466953
aten_0.1.m1.30398.m1,0,1
aten_0.1.m1.30713.m1,0,1
aten_0.1.m1.30713.m1,0,1
aten_0.1.m1.6276.m1,0,1
aten_0.1.m1.6276.m1,0,1
aten_0.1.m1.28223.m1,0,1
aten_0.1.m1.15800.m1,-28,1.53886685524624e-06
aten_0.1.m1.9772.m1,8,0.679571511
aten_0.1.m1.16177.m1,-5,1
aten_0.1.m1.7697.m1,-4,1
aten_0.1.m1.5421.m1,0,1
aten_0.1.m1.17705.m1,3,1
aten_0.1.m1.22659.m1,0,1
aten_0.1.m1.32140.m1,-13,0.458998164
aten_0.1.m1.19586.m1,-13,0.458998164
aten_0.1.m1.30284.m1,-5,1
aten_0.1.m1.28920.m1,0,1
aten_0.1.m1.28920.m1,0,1
aten_0.1.m1.4195.m1,24,1.62175678087385e-05
aten_0.1.m1.8147.m1,-3,1
aten_0.1.m1.8147.m1,-3,1
aten_0.1.m1.5238.m1,-31,0.000649686
aten_0.1.m1.24057.m1,0,1
aten_0.1.m1.27185.m1,0,1
aten_0.1.m1.27185.m1,0,1
aten_0.1.m1.19908.m1,-6,0.496714564
aten_0.1.m1.4489.m1,-7,1
aten_0.1.m1.4489.m1,-7,1
aten_0.1.m1.28173.m1,0,1
aten_0.1.m1.11067.m1,0,1
aten_0.1.m1.26616.m1,0,1
aten_0.1.m1.22345.m1,0,1
aten_0.1.m1.17605.m1,0,1
aten_0.1.m1.30355.m1,-7,0.919324265
aten_0.1.m1.26999.m1,0,1
aten_0.1.m1.12022.m1,0,1
aten_0.1.m1.10937.m1,-2,1
aten_0.1.m1.25562.m1,0,1
aten_0.1.m1.20080.m1,0,1
aten_0.1.m1.75.m1,0,1
aten_0.1.m1.9925.m1,10,0.758267114
aten_0.1.m1.20820.m1,0,1
aten_0.1.m1.29963.m1,-18,0.000472761
aten_0.1.m1.16681.m1,10,0.758267114
aten_0.1.m1.16681.m1,10,0.758267114
aten_0.1.m1.19842.m1,-3,1
aten_0.1.m1.18535.m1,2,1
aten_0.1.m1.18535.m1,2,1
aten_0.1.m1.31296.m1,-1,1
aten_0.1.m1.18275.m1,-3,1
aten_0.1.m1.21951.m1,-4,1
aten_0.1.m1.21951.m1,-4,1
aten_0.1.m1.16066.m1,1,1
aten_0.1.m1.16066.m1,1,1
aten_0.1.m1.13251.m1,-5,1
aten_0.1.m1.32810.m1,-12,0.365974035
aten_0.1.m1.32810.m1,-12,0.365974035
aten_0.1.m1.1936.m1,-7,1
aten_0.1.m1.12292.m1,0,1
aten_0.1.m1.25291.m1,8,0.883172472
aten_0.1.m1.25291.m1,8,0.883172472
aten_0.1.m1.33026.m1,0,1
aten_0.1.m1.31313.m1,0,1
aten_0.1.m1.32328.m1,0,1
aten_0.1.m1.33031.m1,19,0.000261935
aten_0.1.m1.11614.m1,4,1
aten_0.1.m1.11614.m1,4,1
aten_0.1.m1.24143.m1,0,1
aten_0.1.m1.9278.m1,3,1
aten_0.1.m1.19126.m1,2,1
aten_0.1.m1.14732.m1,-2,1
aten_0.1.m1.18237.m1,-17,0.000649686
aten_0.1.m1.15888.m1,1,1
aten_0.1.m1.30317.m1,2,1
aten_0.1.m1.5666.m1,-17,0.082841021
aten_0.1.m1.3267.m1,0,1
aten_0.1.m1.3267.m1,0,1
aten_0.1.m1.881.m1,-16,0.072067257
aten_0.1.m1.15966.m1,0,1
aten_0.1.m1.15966.m1,0,1
aten_0.1.m1.7022.m1,0,1
aten_0.1.m1.7022.m1,0,1
aten_0.1.m1.2228.m1,4,1
aten_0.1.m1.17633.m1,0,1
aten_0.1.m1.34088.m1,0,1
aten_0.1.m1.14692.m1,-4,1
aten_0.1.m1.16413.m1,0,1
aten_0.1.m1.22004.m1,10,0.758267114
aten_0.1.m1.20867.m1,17,0.000649686
aten_0.1.m1.19312.m1,-5,1
aten_0.1.m1.19312.m1,-5,1
aten_0.1.m1.18546.m1,21,0.041567311
aten_0.1.m1.18546.m1,21,0.041567311
aten_0.1.m1.18647.m1,-5,0.895693191
aten_0.1.m1.18647.m1,-5,0.895693191
aten_0.1.m1.8685.m1,0,1
aten_0.1.m1.28865.m1,0,1
aten_0.1.m1.2360.m1,0,1
aten_0.1.m1.2360.m1,0,1
aten_0.1.m1.8180.m1,0,1
aten_0.1.m1.32551.m1,0,1
aten_0.1.m1.32551.m1,0,1
aten_0.1.m1.17032.m1,12,0.365974035
aten_0.1.m1.7139.m1,0,1
aten_0.1.m1.7139.m1,0,1
aten_0.1.m1.29565.m1,0,1
aten_0.1.m1.26939.m1,-8,0.082841021
aten_0.1.m1.26939.m1,-8,0.082841021
aten_0.1.m1.25139.m1,-4,1
aten_0.1.m1.16047.m1,0,1
aten_0.1.m1.7798.m1,0,1
aten_0.1.m1.7798.m1,0,1
aten_0.1.m1.26475.m1,-10,0.758267114
aten_0.1.m1.26475.m1,-10,0.758267114
aten_0.1.m1.15570.m1,1,1
aten_0.1.m1.21027.m1,0,1
aten_0.1.m1.21027.m1,0,1
aten_0.1.m1.4205.m1,-7,1
aten_0.1.m1.4205.m1,-7,1
aten_0.1.m1.6151.m1,-4,1
aten_0.1.m1.20142.m1,16,0.119403093
aten_0.1.m1.20307.m1,5,1
aten_0.1.m1.9203.m1,10,0.030051604
aten_0.1.m1.6626.m1,0,1
aten_0.1.m1.6626.m1,0,1
aten_0.1.m1.23809.m1,3,1
aten_0.1.m1.18508.m1,17,0.132548977
aten_0.1.m1.32801.m1,0,1
aten_0.1.m1.32801.m1,0,1
aten_0.1.m1.19427.m1,-3,0.823946746
aten_0.1.m1.19427.m1,-3,0.823946746
aten_0.1.m1.481.m1,2,1
aten_0.1.m1.26552.m1,9,0.686079772
aten_0.1.m1.29917.m1,2,1
aten_0.1.m1.28780.m1,-1,1
aten_0.1.m1.4493.m1,0,1
aten_0.1.m1.7602.m1,13,0.458998164
aten_0.1.m1.7602.m1,13,0.458998164
aten_0.1.m1.13088.m1,0,1
aten_0.1.m1.13640.m1,0,1
aten_0.1.m1.13640.m1,0,1
aten_0.1.m1.8955.m1,0,1
aten_0.1.m1.8955.m1,0,1
aten_0.1.m1.3878.m1,0,1
aten_0.1.m1.3878.m1,0,1
aten_0.1.m1.25661.m1,-17,0.000649686
aten_0.1.m1.25661.m1,-17,0.000649686
aten_0.1.m1.12706.m1,0,1
aten_0.1.m1.26571.m1,1,1
aten_0.1.m1.14069.m1,0,1
aten_0.1.m1.14069.m1,0,1
aten_0.1.m1.14069.m1,-9,0.831973842
aten_0.1.m1.14069.m1,-9,0.831973842
aten_0.1.m1.23672.m1,2,1
aten_0.1.m1.74.m1,7,0.823946746
aten_0.1.m1.7780.m1,0,1
aten_0.1.m1.32404.m1,10,0.758267114
aten_0.1.m1.32404.m1,10,0.758267114
aten_0.1.m1.11224.m1,0,1
aten_0.1.m1.6714.m1,2,1
aten_0.1.m1.1227.m1,0,1
aten_0.1.m1.1227.m1,0,1
aten_0.1.m1.20757.m1,0,1
aten_0.1.m1.967.m1,-2,1
aten_0.1.m1.25888.m1,0,1
aten_0.1.m1.25888.m1,0,1
aten_0.1.m1.28264.m1,-7,0.679571511
aten_0.1.m1.33275.m1,2,1
aten_0.1.m1.33275.m1,2,1
aten_0.1.m1.17308.m1,5,1
aten_0.1.m1.6663.m1,0,1
aten_0.1.m1.28020.m1,0,1
aten_0.1.m1.16408.m1,2,1
aten_0.1.m1.27535.m1,11,0.62648178
aten_0.1.m1.27535.m1,11,0.62648178
aten_0.1.m1.32170.m1,2,1
aten_0.1.m1.4632.m1,0,1
aten_0.1.m1.4632.m1,0,1
aten_0.1.m1.15537.m1,7,0.992876843
aten_0.1.m1.3180.m1,-8,0.652288775
aten_0.1.m1.6696.m1,1,1
aten_0.1.m1.28173.m1,-8,0.758267114
aten_0.1.m1.33920.m1,-1,1
aten_0.1.m1.33920.m1,-1,1
aten_0.1.m1.21211.m1,0,1
aten_0.1.m1.15979.m1,5,0.358799898
aten_0.1.m1.15979.m1,5,0.358799898
aten_0.1.m1.2609.m1,0,1
aten_0.1.m1.2609.m1,0,1
aten_0.1.m1.23792.m1,0,1
aten_0.1.m1.20852.m1,0,1
aten_0.1.m1.20852.m1,0,1
aten_0.1.m1.22702.m1,-1,1
aten_0.1.m1.16749.m1,-23,0.025987655
aten_0.1.m1.16749.m1,-23,0.025987655
aten_0.1.m1.11110.m1,0,1
aten_0.1.m1.28031.m1,8,0.679571511
aten_0.1.m1.16264.m1,15,0.149700079
aten_0.1.m1.27480.m1,5,1
aten_0.1.m1.14296.m1,0,1
aten_0.1.m1.24154.m1,12,0.458998164
aten_0.1.m1.24154.m1,12,0.458998164
aten_0.1.m1.20321.m1,6,1
aten_0.1.m1.24764.m1,10,0.758267114
aten_0.1.m1.24764.m1,10,0.758267114
aten_0.1.m1.22874.m1,-7,1
aten_0.1.m1.25145.m1,0,1
aten_0.1.m1.25138.m1,0,1
aten_0.1.m1.3024.m1,4,1
aten_0.1.m1.3024.m1,4,1
aten_0.1.m1.28038.m1,-25,1.16717344078042e-05
aten_0.1.m1.29763.m1,0,1
aten_0.1.m1.28778.m1,-17,0.000649686
aten_0.1.m1.32270.m1,-7,1
aten_0.1.m1.26958.m1,-8,0.082841021
aten_0.1.m1.5238.m1,0,1
aten_0.1.m1.15617.m1,8,0.831973842
aten_0.1.m1.18419.m1,0,1
aten_0.1.m1.18414.m1,0,1
aten_0.1.m1.19969.m1,-8,0.982867425
aten_0.1.m1.8807.m1,0,1
aten_0.1.m1.28520.m1,10,0.758267114
aten_0.1.m1.2797.m1,0,1
aten_0.1.m1.29463.m1,0,1
aten_0.1.m1.17787.m1,1,1
aten_0.1.m1.28766.m1,8,0.652288775
aten_0.1.m1.28766.m1,8,0.652288775
aten_0.1.m1.12763.m1,17,0.182600938
aten_0.1.m1.12761.m1,17,0.182600938
aten_0.1.m1.15209.m1,0,1
aten_0.1.m1.20569.m1,0,1
aten_0.1.m1.23607.m1,3,0.823946746
aten_0.1.m1.11576.m1,0,1
aten_0.1.m1.25389.m1,0,1
aten_0.1.m1.21363.m1,0,1
aten_0.1.m1.29976.m1,0,1
aten_0.1.m1.7793.m1,0,1
aten_0.1.m1.14073.m1,0,1
aten_0.1.m1.27898.m1,-10,0.745503719
aten_0.1.m1.4205.m1,0,1
aten_0.1.m1.4205.m1,0,1
aten_0.1.m1.9155.m1,-6,1
aten_0.1.m1.8180.m1,-1,1
aten_0.1.m1.27484.m1,-12,0.365974035
aten_0.1.m1.8939.m1,0,1
aten_0.1.m1.17202.m1,0,1
aten_0.1.m1.23792.m1,12,0.496714564
aten_0.1.m1.25201.m1,4,1
aten_0.1.m1.25201.m1,4,1
aten_0.1.m1.7044.m1,18,0.104684536
aten_0.1.m1.28452.m1,0,1
aten_0.1.m1.28119.m1,-17,0.000649686
aten_0.1.m1.14701.m1,-10,0.59504063
aten_0.1.m1.11765.m1,8,0.484738186
aten_0.1.m1.9897.m1,-23,0.025987655
aten_0.1.m1.9897.m1,-23,0.025987655
aten_0.1.m1.20024.m1,0,1
aten_0.1.m1.20024.m1,0,1
aten_0.1.m1.17724.m1,2,1
aten_0.1.m1.16345.m1,0,1
aten_0.1.m1.16345.m1,0,1
aten_0.1.m1.23646.m1,23,0.00118436
aten_0.1.m1.19705.m1,-5,0.686079772
aten_0.1.m1.28539.m1,12,0.365974035
aten_0.1.m1.21398.m1,-4,1
aten_0.1.m1.22993.m1,-15,0.315355142
aten_0.1.m1.22993.m1,-15,0.315355142
aten_0.1.m1.15409.m1,-3,0.823946746
aten_0.1.m1.15409.m1,-3,0.823946746
aten_0.1.m1.15409.m1,-20,0.046715106
aten_0.1.m1.15409.m1,-20,0.046715106
aten_0.1.m1.29469.m1,5,0.358799898
aten_0.1.m1.30702.m1,0,1
aten_0.1.m1.9030.m1,0,1
aten_0.1.m1.9030.m1,0,1
aten_0.1.m1.6019.m1,-7,0.679571511
aten_0.1.m1.16053.m1,0,1
aten_0.1.m1.16053.m1,0,1
aten_0.1.m1.3277.m1,0,1
aten_0.1.m1.3277.m1,0,1
aten_0.1.m1.22716.m1,0,1
aten_0.1.m1.10226.m1,6,0.83694844
aten_0.1.m1.11531.m1,-3,1
aten_0.1.m1.19641.m1,18,0.025745086
aten_0.1.m1.19641.m1,18,0.025745086
aten_0.1.m1.9983.m1,-4,1
aten_0.1.m1.14215.m1,0,1
aten_0.1.m1.21146.m1,-8,0.982816136
aten_0.1.m1.31156.m1,0,1
aten_0.1.m1.31156.m1,0,1
aten_0.1.m1.28528.m1,0,1
aten_0.1.m1.28528.m1,0,1
aten_0.1.m1.2871.m1,2,1
aten_0.1.m1.14151.m1,-6,1
aten_0.1.m1.988.m1,-3,0.823946746
aten_0.1.m1.24143.m1,2,1
aten_0.1.m1.33802.m1,7,1
aten_0.1.m1.19001.m1,2,1
aten_0.1.m1.19001.m1,2,1
aten_0.1.m1.19479.m1,31,2.31647949705698e-05
aten_0.1.m1.19479.m1,31,2.31647949705698e-05
aten_0.1.m1.24853.m1,4,1
aten_0.1.m1.5236.m1,0,1
aten_0.1.m1.5236.m1,0,1
aten_0.1.m1.29929.m1,0,1
aten_0.1.m1.14121.m1,0,1
aten_0.1.m1.14121.m1,0,1
aten_0.1.m1.16268.m1,2,1
aten_0.1.m1.5035.m1,-14,0.200047928
aten_0.1.m1.3404.m1,10,0.503957807
aten_0.1.m1.23748.m1,17,0.189613729
aten_0.1.m1.23748.m1,17,0.189613729
aten_0.1.m1.17103.m1,-2,1
aten_0.1.m1.27643.m1,-2,1
aten_0.1.m1.27106.m1,12,0.365974035
aten_0.1.m1.24268.m1,-7,1
aten_0.1.m1.27571.m1,3,1
aten_0.1.m1.12545.m1,0,1
aten_0.1.m1.12059.m1,11,0.105466953
aten_0.1.m1.12059.m1,11,0.105466953
aten_0.1.m1.3215.m1,0,1
aten_0.1.m1.3215.m1,0,1
aten_0.1.m1.29243.m1,10,0.503957807
aten_0.1.m1.16621.m1,-14,0.253504701
aten_0.1.m1.15081.m1,0,1
aten_0.1.m1.15081.m1,0,1
aten_0.1.m1.5076.m1,0,1
aten_0.1.m1.12123.m1,-12,0.241683309
aten_0.1.m1.9757.m1,0,1
aten_0.1.m1.1167.m1,1,1
aten_0.1.m1.7791.m1,0,1
aten_0.1.m1.7791.m1,0,1
aten_0.1.m1.24263.m1,0,1
aten_0.1.m1.5854.m1,0,1
aten_0.1.m1.8582.m1,0,1
aten_0.1.m1.8582.m1,0,1
aten_0.1.m1.26046.m1,25,0.020620777
aten_0.1.m1.26046.m1,25,0.020620777
aten_0.1.m1.23372.m1,2,1
aten_0.1.m1.3559.m1,0,1
aten_0.1.m1.8432.m1,-15,0.099579491
aten_0.1.m1.8432.m1,-15,0.099579491
aten_0.1.m1.30250.m1,-1,1
aten_0.1.m1.27618.m1,0,1
aten_0.1.m1.27618.m1,0,1
aten_0.1.m1.1868.m1,0,1
aten_0.1.m1.31059.m1,29,0.003931766
aten_0.1.m1.30985.m1,0,1
aten_0.1.m1.14716.m1,0,1
aten_0.1.m1.14716.m1,0,1
aten_0.1.m1.20337.m1,-5,0.895693191
aten_0.1.m1.8153.m1,0,1
aten_0.1.m1.15163.m1,0,1
aten_0.1.m1.12107.m1,1,1
aten_0.1.m1.26422.m1,0,1
aten_0.1.m1.29986.m1,-1,1
aten_0.1.m1.28865.m1,2,1
aten_0.1.m1.22302.m1,0,1
aten_0.1.m1.25595.m1,0,1
aten_0.1.m1.25595.m1,0,1
aten_0.1.m1.23080.m1,-3,0.823946746
aten_0.1.m1.753.m1,-2,1
aten_0.1.m1.731.m1,0,1
aten_0.1.m1.33973.m1,0,1
aten_0.1.m1.28617.m1,5,1
aten_0.1.m1.10040.m1,-6,1
