gene,r,p_adj
aten_0.1.m1.6007.m1,0,1
aten_0.1.m1.1734.m1,15,0.050481614
aten_0.1.m1.1734.m1,15,0.050481614
aten_0.1.m1.25286.m1,0,1
aten_0.1.m1.3129.m1,0,1
aten_0.1.m1.26299.m1,-3,0.823946746
aten_0.1.m1.22407.m1,0,1
aten_0.1.m1.2126.m1,0,1
aten_0.1.m1.2126.m1,0,1
aten_0.1.m1.25817.m1,0,1
aten_0.1.m1.12059.m1,0,1
aten_0.1.m1.25675.m1,13,0.458998164
aten_0.1.m1.25675.m1,13,0.458998164
aten_0.1.m1.12597.m1,0,1
aten_0.1.m1.16841.m1,0,1
aten_0.1.m1.27857.m1,12,0.433008542
aten_0.1.m1.16692.m1,-8,0.525158778
aten_0.1.m1.32398.m1,0,1
aten_0.1.m1.14722.m1,12,0.403230613
aten_0.1.m1.20589.m1,0,1
aten_0.1.m1.1577.m1,0,1
aten_0.1.m1.13117.m1,-7,0.566425697
aten_0.1.m1.9977.m1,2,1
aten_0.1.m1.5659.m1,5,1
aten_0.1.m1.5919.m1,-11,0.407410228
aten_0.1.m1.5919.m1,-11,0.407410228
aten_0.1.m1.26481.m1,0,1
aten_0.1.m1.17893.m1,-4,1
aten_0.1.m1.12669.m1,-11,0.022231772
aten_0.1.m1.2223.m1,-13,0.458998164
aten_0.1.m1.21124.m1,0,1
aten_0.1.m1.2123.m1,9,0.507749831
aten_0.1.m1.2123.m1,9,0.507749831
aten_0.1.m1.25910.m1,0,1
aten_0.1.m1.19210.m1,1,1
aten_0.1.m1.25646.m1,0,1
aten_0.1.m1.4369.m1,11,0.478947113
aten_0.1.m1.20041.m1,-1,1
aten_0.1.m1.21985.m1,0,1
aten_0.1.m1.24170.m1,-4,1
aten_0.1.m1.2787.m1,0,1
aten_0.1.m1.2787.m1,0,1
aten_0.1.m1.2428.m1,0,1
aten_0.1.m1.16365.m1,-2,1
aten_0.1.m1.11829.m1,0,1
aten_0.1.m1.11829.m1,0,1
aten_0.1.m1.10652.m1,-3,0.823946746
aten_0.1.m1.10652.m1,-3,0.823946746
aten_0.1.m1.10657.m1,-3,0.823946746
aten_0.1.m1.3547.m1,6,0.784053738
aten_0.1.m1.19463.m1,0,1
aten_0.1.m1.23529.m1,-2,1
aten_0.1.m1.23529.m1,-2,1
aten_0.1.m1.2693.m1,10,0.030051604
aten_0.1.m1.2693.m1,10,0.030051604
aten_0.1.m1.757.m1,1,1
aten_0.1.m1.27489.m1,0,1
aten_0.1.m1.21342.m1,0,1
aten_0.1.m1.12434.m1,-3,1
aten_0.1.m1.9888.m1,0,1
aten_0.1.m1.12461.m1,-8,0.525158778
aten_0.1.m1.23115.m1,-10,0.111508339
aten_0.1.m1.12606.m1,-2,1
aten_0.1.m1.12606.m1,-2,1
aten_0.1.m1.22555.m1,-7,1
aten_0.1.m1.3232.m1,0,1
aten_0.1.m1.3232.m1,0,1
aten_0.1.m1.5479.m1,8,0.484738186
aten_0.1.m1.9670.m1,0,1
aten_0.1.m1.9670.m1,0,1
aten_0.1.m1.15800.m1,-1,1
aten_0.1.m1.10821.m1,13,0.458998164
aten_0.1.m1.10821.m1,13,0.458998164
aten_0.1.m1.6671.m1,0,1
aten_0.1.m1.6671.m1,0,1
aten_0.1.m1.9595.m1,3,1
aten_0.1.m1.22768.m1,3,1
aten_0.1.m1.31740.m1,2,1
aten_0.1.m1.30498.m1,3,1
aten_0.1.m1.10746.m1,-6,1
