Temp,Timepoint,Culture,type,Mom,Dad,mom_origin,dad_origin,region,maternal_mean,maternal_se,N,mean,sd,se,ci
Hot,1,DAV8xDAV6,individual,Davies8,Davies6,central,central,NA,NA,NA,3,95,5,2.886751346,12.42068856
Hot,1,JEW(bottom)xDAV6bulk,bulk,Jewell(bottom),Davies6bulk,north,central,NA,NA,NA,6,89.16666667,8.612007122,3.515837185,9.037747205
Hot,1,JEW2xDAV1,individual,Jewell2,Davies1,north,central,NA,NA,NA,3,95,0,0,0
Hot,1,JEW2xDAV13,individual,Jewell2,Davies13,north,central,NA,NA,NA,3,100,0,0,0
Hot,1,JEW2xJEW8,individual,Jewell2,Jewell8,north,north,NA,NA,NA,3,95,5,2.886751346,12.42068856
Hot,1,JEW2xPAL1,individual,Jewell2,Palms1,north,central,NA,NA,NA,3,90,13.22875656,7.637626158,32.86205304
Hot,1,JEW2xPAL4,individual,Jewell2,Palms4,north,central,NA,NA,NA,3,91.66666667,5.773502692,3.333333333,14.34217577
Hot,1,JEW2xPAL5,individual,Jewell2,Palms5,north,central,NA,NA,NA,3,95,5,2.886751346,12.42068856
Hot,1,JEW3xDAV1,individual,Jewell3,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Hot,1,JEW3xPAL1,individual,Jewell3,Palms1,north,central,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,JEW5xPAL1,individual,Jewell5,Palms1,north,central,NA,NA,NA,3,88.33333333,5.773502692,3.333333333,14.34217577
Hot,1,JEW6xDAV1,individual,Jewell6,Davies1,north,central,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,JEW6xPAL1,individual,Jewell6,Palms1,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Hot,1,JEW6xPAL4,individual,Jewell6,Palms4,north,central,NA,NA,NA,3,95,5,2.886751346,12.42068856
Hot,1,JEW7xDAV1,individual,Jewell7,Davies1,north,central,NA,NA,NA,3,100,0,0,0
Hot,1,JEW8xDAV1,individual,Jewell8,Davies1,north,central,NA,NA,NA,3,93.33333333,5.773502692,3.333333333,14.34217577
Hot,1,JEW8xDAV10,individual,Jewell8,Davies10,north,central,NA,NA,NA,3,88.33333333,12.58305739,7.264831573,31.2580474
Hot,1,JEW8xDAV13,individual,Jewell8,Davies13,north,central,NA,NA,NA,3,100,0,0,0
Hot,1,JEW8xDAV6,individual,Jewell8,Davies6,north,central,NA,NA,NA,3,80,18.02775638,10.40833,44.78342948
Hot,1,JEW8xJEW2,individual,Jewell8,Jewell2,north,north,NA,NA,NA,6,96.66666667,4.082482905,1.666666667,4.284303059
Hot,1,JEW8xJEW3,individual,Jewell8,Jewell3,north,north,NA,NA,NA,3,93.33333333,5.773502692,3.333333333,14.34217577
Hot,1,JEW8xPAL1,individual,Jewell8,Palms1,north,central,NA,NA,NA,3,93.33333333,2.886751346,1.666666667,7.171087883
Hot,1,JEW8xPAL4,individual,Jewell8,Palms4,north,central,NA,NA,NA,3,98.33333333,2.886751346,1.666666667,7.171087883
Hot,1,JEW8xPAL5,individual,Jewell8,Palms5,north,central,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,JEWBulkxPARBulk,bulk,JewellBulk,ParkeBulk,north,north,NA,NA,NA,3,95,5,2.886751346,12.42068856
Hot,1,JEWBulkxSWIBulk,bulk,JewellBulk,SwitzerBulk,north,north,NA,NA,NA,3,100,0,0,0
Hot,1,PALBulkxDAV6Bulk,bulk,PalmsBulk,Davies6Bulk,central,central,NA,NA,NA,6,95.83333333,5.845225972,2.386303511,6.134188459
Hot,1,PAL2xDAV1,individual,Palms2,Davies1,central,central,NA,NA,NA,3,85,18.02775638,10.40833,44.78342948
Hot,1,PAL2xPAL5,individual,Palms2,Palms5,central,central,NA,NA,NA,3,88.33333333,7.637626158,4.409585518,18.97291517
Hot,1,PAL4xDAV1,individual,Palms4,Davies1,central,central,NA,NA,NA,3,88.33333333,2.886751346,1.666666667,7.171087883
Hot,1,PAL4xPAL2,individual,Palms4,Palms2,central,central,NA,NA,NA,3,90,8.660254038,5,21.51326365
Hot,1,PAL5xPAL4,individual,Palms5,Palms4,central,central,NA,NA,NA,3,93.33333333,2.886751346,1.666666667,7.171087883
Hot,1,PAR2xDAV8,individual,Parke2,Davies8,north,central,NA,NA,NA,3,100,0,0,0
Hot,1,PAR2xPAR5,individual,Parke2,Parke5,north,north,NA,NA,NA,3,100,0,0,0
Hot,1,PAR4xDAV1,individual,Parke4,Davies1,north,central,NA,NA,NA,3,81.66666667,2.886751346,1.666666667,7.171087883
Hot,1,PAR4xPAR2,individual,Parke4,Parke2,north,north,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,PAR5xDAV10,individual,Parke5,Davies10,north,central,NA,NA,NA,3,100,0,0,0
Hot,1,PAR5xDAV6,individual,Parke5,Davies6,north,central,NA,NA,NA,3,88.33333333,5.773502692,3.333333333,14.34217577
Hot,1,PAR5xPAR4,individual,Parke5,Parke4,north,north,NA,NA,NA,3,90,10,5.773502692,24.84137712
Hot,1,PAR6bulkxDAV6bulk,bulk,Parke6Bulk,Davies6bulk,north,central,NA,NA,NA,6,93.33333333,4.082482905,1.666666667,4.284303059
Hot,1,PAR6bulkxPAR6bulk,bulk,Parke6Bulk,Parke6bulk,north,north,NA,NA,NA,6,89.16666667,8.612007122,3.515837185,9.037747205
Hot,1,PARbulkxJEWbulk,bulk,ParkeBulk,Jewellbulk,north,north,NA,NA,NA,3,100,0,0,0
Hot,1,PARBulkxSWIBulk,bulk,ParkeBulk,SwitzerBulk,north,north,NA,NA,NA,3,100,0,0,0
Hot,1,SWI1xSWIVoucher,individual,Switzer1,SwitzerVoucher,north,north,NA,NA,NA,3,56.66666667,11.54700538,6.666666667,28.68435153
Hot,1,SWI2xDAV1,individual,Switzer2,Davies1,north,central,NA,NA,NA,3,93.33333333,2.886751346,1.666666667,7.171087883
Hot,1,SWI2xDAV10,individual,Switzer2,Davies10,north,central,NA,NA,NA,3,95,5,2.886751346,12.42068856
Hot,1,SWI4xDAV8,individual,Switzer4,Davies8,north,central,NA,NA,NA,3,96.66666667,2.886751346,1.666666667,7.171087883
Hot,1,SWI4xSWI7,individual,Switzer4,Switzer7,north,north,NA,NA,NA,3,73.33333333,7.637626158,4.409585518,18.97291517
