MCMC	Heritability
460	0.945402
461	0.922414
462	0.974138
463	0.968391
464	0.968391
465	0.807471
466	0.977011
467	0.859195
468	0.979885
469	0.948276
470	0.979885
471	1
472	0.948276
473	0.928161
474	0.971264
475	0.971264
476	0.948276
477	0.902299
478	0.887931
479	0.876437
480	0.956897
481	0.798851
482	0.988506
483	0.922414
484	0.965517
485	0.939655
486	0.948276
487	0.893678
488	0.83046
489	0.942529
490	0.913793
491	0.974138
492	0.902299
493	0.951149
494	0.91954
495	0.899425
496	0.968391
497	0.974138
498	0.83046
499	0.936782
500	0.83046
501	0.939655
502	0.908046
503	0.83046
504	0.847701
505	0.801724
506	0.896552
507	0.945402
508	0.948276
509	0.974138
510	0.764368
511	0.804598
512	1
513	0.91954
514	0.968391
515	0.956897
516	0.675287
517	0.942529
518	0.864943
519	0.813218
520	0.997126
521	0.925287
522	0.965517
523	0.971264
524	0.876437
525	0.956897
526	0.968391
527	0.968391
528	0.954023
529	0.75
530	0.885057
531	0.95977
532	0.752874
533	0.893678
534	0.913793
535	0.95977
536	0.899425
537	0.83046
538	0.974138
539	0.908046
540	0.954023
541	0.804598
542	0.954023
543	0.850575
544	0.896552
545	0.954023
546	0.954023
547	0.954023
548	0.798851
549	0.87069
550	0.95977
551	0.853448
552	0.841954
553	0.893678
554	0.902299
555	0.591954
556	0.979885
557	0.982759
558	0.836207
559	0.936782
560	1
561	0.902299
562	0.658046
563	0.979885
564	0.936782
565	0.974138
566	0.873563
567	0.951149
568	0.91954
569	0.974138
570	0.942529
571	0.965517
572	0.982759
573	0.977011
574	0.62069
575	0.977011
576	0.982759
577	0.942529
578	0.954023
579	0.913793
580	0.862069
581	0.965517
582	0.876437
583	0.925287
584	0.936782
585	0.643678
586	0.956897
587	0.962644
588	0.856322
589	0.939655
590	0.784483
591	0.922414
592	0.813218
593	0.936782
594	0.810345
595	0.945402
596	0.962644
597	0.965517
598	0.724138
599	0.896552
600	0.87069
601	0.945402
602	0.933908
603	0.836207
604	0.706897
605	0.890805
606	0.890805
607	0.893678
608	0.951149
609	0.965517
610	0.979885
611	0.948276
612	0.945402
613	0.933908
614	0.859195
615	0.62931
616	0.744253
617	0.951149
618	0.974138
619	0.948276
620	0.876437
621	0.862069
622	0.922414
623	0.913793
624	0.83908
625	0.928161
626	0.954023
627	0.951149
628	0.801724
629	0.873563
630	0.87931
631	0.764368
632	0.896552
633	0.971264
634	0.95977
635	0.956897
636	0.951149
637	0.948276
638	0.908046
639	0.939655
640	0.91954
641	0.913793
642	0.908046
643	0.985632
644	0.735632
645	0.971264
646	0.965517
647	0.916667
648	0.908046
649	0.873563
650	0.79023
651	0.916667
652	0.954023
653	0.87931
654	0.922414
655	0.965517
656	0.956897
657	0.893678
658	0.887931
659	0.985632
660	0.948276
661	0.962644
662	0.922414
663	0.985632
664	0.954023
665	0.916667
666	0.962644
667	0.974138
668	0.956897
669	0.908046
670	0.925287
671	0.942529
672	0.818966
673	0.933908
674	1
675	0.982759
676	0.962644
677	0.954023
678	0.965517
679	0.91092
680	0.925287
681	0.977011
682	0.675287
683	0.942529
684	0.974138
685	0.971264
686	0.787356
687	0.758621
688	0.948276
689	0.899425
690	0.853448
691	0.787356
692	0.956897
693	0.520115
694	0.744253
695	0.942529
696	0.988506
697	0.902299
698	0.95977
699	0.951149
700	0.988506
701	0.896552
