"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
72 0.145413184550688 4 3 "GO:0005254;GO:0005253;GO:0015108;GO:0015103;GO:0008509" "chloride transmembrane transporter activity" 0.692568557192355
-50 0.123091271353851 3 7 "GO:0005261;GO:0022890;GO:0008324" "inorganic cation transmembrane transporter activity" 0.687329655698053
-31 0.411934167253605 3 5 "GO:0005262;GO:0015085;GO:0046873;GO:0072509" "metal ion transmembrane transporter activity" 0.812684357622337
11 0.259456789089447 1 118 "GO:0005488" "binding" 0.812684357622337
47 0.441878988579693 2 2 "GO:0005507" "copper ion binding" 0.812684357622337
-11 0.675853112996725 4 10 "GO:0005509" "calcium ion binding" 0.855510269616108
-20 0.327789879952006 2 19 "GO:0005515" "protein binding" 0.812684357622337
-22 0.274517110376686 5 19 "GO:0005524;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0043168;GO:1901265;GO:0017076;GO:0000166;GO:0036094;GO:0032553;GO:0097367" "nucleoside phosphate binding" 0.812684357622337
-10 0.786511862889761 4 5 "GO:0008227" "G protein-coupled amine receptor activity" 0.901024579488577
-5 0.804307866879371 3 19 "GO:0008233;GO:0004175" "peptidase activity" 0.901024579488577
-25 0.615388383031042 2 3 "GO:0008238" "exopeptidase activity" 0.841438401797537
-37 0.544498519606966 5 2 "GO:0008270" "zinc ion binding" 0.812684357622337
-51 0.23224571542861 2 4 "GO:0008528;GO:0001653" "G protein-coupled peptide receptor activity" 0.812684357622337
-37 0.333775337224205 4 5 "GO:0016462;GO:0016818;GO:0016817;GO:0017111" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.812684357622337
-24 0.218768749966143 2 20 "GO:0016491" "oxidoreductase activity" 0.812684357622337
-37 0.456240807920978 4 3 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" 0.812684357622337
26 0.663805018729123 3 2 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 0.851032075293747
-11 0.426004289358602 2 43 "GO:0016740" "transferase activity" 0.812684357622337
-23 0.450273534947687 2 8 "GO:0016757" "transferase activity, transferring glycosyl groups" 0.812684357622337
-8 0.84489140495286 3 4 "GO:0016758" "transferase activity, transferring hexosyl groups" 0.927983470259737
20 0.747589153811482 3 2 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 0.901024579488577
16 0.236083039387804 2 44 "GO:0016787" "hydrolase activity" 0.812684357622337
41 0.0906271603049941 3 13 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.687329655698053
44 0.377907815666054 5 3 "GO:0016791" "phosphatase activity" 0.812684357622337
13 0.800339874545374 3 3 "GO:0016810" "hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds" 0.901024579488577
-47 0.124728802331173 2 8 "GO:0016829" "lyase activity" 0.687329655698053
-5 0.892278665565233 2 5 "GO:0016830" "carbon-carbon lyase activity" 0.939240700594982
42 0.487811716605608 2 2 "GO:0016831" "carboxy-lyase activity" 0.812684357622337
-37 0.388358742598935 2 4 "GO:0016853;GO:0016860" "isomerase activity" 0.812684357622337
17 0.782666650284886 2 2 "GO:0016917" "GABA receptor activity" 0.901024579488577
6 0.883887648172056 2 5 "GO:0022836" "gated channel activity" 0.939240700594982
-1 0.978720168120146 2 13 "GO:0030234;GO:0098772" "molecular function regulator" 0.978720168120146
-20 0.576599266355023 4 6 "GO:0030695;GO:0060589" "GTPase regulator activity" 0.826141785428766
11 0.766164101077803 4 5 "GO:0042578" "phosphoric ester hydrolase activity" 0.901024579488577
10 0.453890261077092 2 49 "GO:0043167" "ion binding" 0.812684357622337
29 0.0522582838981751 3 35 "GO:0046872;GO:0043169" "metal ion binding" 0.580647598868612
-3 0.930174219427025 4 5 "GO:0046914" "transition metal ion binding" 0.94915736676227
16 0.789094489742717 4 2 "GO:0052689" "carboxylic ester hydrolase activity" 0.901024579488577
6 0.651732431074268 2 59 "GO:0097159;GO:1901363" "organic cyclic compound binding" 0.848708823988075
-18 0.160740482848367 2 51 "GO:0140096" "catalytic activity, acting on a protein" 0.698871664558117
