Reef,Lat,Lon,latlon
Davies,-18.81978,147.64563,"-18.81978, 147.64563"
Palm Is.,-18.76431,146.62412,"-18.76431, 146.62412"
Switzer,-14.29289,144.7373,"-14.29289, 144.7373"
Jewell,-14.40768,145.36202,"-14.40768, 145.36202"
Parke,-14.43982,145.3231,"-14.43982, 145.3231"
