"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
101 0.066690058930788 3 40 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.602290867698338
142 0.409952885000898 6 4 "GO:0005920;GO:0005918;GO:0070160;GO:0005911" "cell-cell junction" 0.891038881633962
171 0.482230458441295 5 2 "GO:0005925;GO:0030055" "focal adhesion" 0.891038881633962
-83 0.555256043880056 3 6 "GO:0005929" "cilium" 0.891038881633962
307 0.0464447510382599 2 5 "GO:0005930" "axoneme" 0.602290867698338
-428 0.0313243739579849 2 3 "GO:0010008" "endosome membrane" 0.542955815271738
13 0.610153641900791 2 220 "GO:0016020" "membrane" 0.891038881633962
-6 0.863050258095163 2 107 "GO:0016021;GO:0031224" "integral component of membrane" 0.949351333044206
469 0.0537466556388155 1 2 "GO:0019012" "virion" 0.602290867698338
-40 0.757698877132674 4 7 "GO:0031966" "mitochondrial membrane" 0.927886377488856
97 0.625440753454608 4 3 "GO:0031985" "Golgi cisterna" 0.891038881633962
-24 0.560522742738378 1 75 "GO:0032991" "protein-containing complex" 0.891038881633962
106 0.662944791514542 3 2 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.906225617645042
-418 0.0858614344873962 3 2 "GO:0036128;GO:0005891;GO:0034704" "CatSper complex" 0.637827799049229
-28 0.908942698847722 2 2 "GO:0036452" "ESCRT complex" 0.964592251838399
124 0.610024503560592 5 2 "GO:0043160;GO:0034774;GO:0043202;GO:0060205;GO:0031983;GO:0005775" "cytoplasmic vesicle lumen" 0.891038881633962
46 0.0779310379582685 2 208 "GO:0043231;GO:0043227" "membrane-bounded organelle" 0.623448303666148
89 0.0441193646750544 4 63 "GO:0043232;GO:0043228" "intracellular non-membrane-bounded organelle" 0.602290867698338
32 0.782772892442185 2 9 "GO:0043233;GO:0070013;GO:0031974" "organelle lumen" 0.927886377488856
126 0.332214619835389 3 7 "GO:0070161;GO:0030054" "cell junction" 0.854418965784082
17 0.583476926725543 4 146 "GO:0098588;GO:0031090" "organelle membrane" 0.891038881633962
-22 0.867195929223073 3 7 "GO:0098791;GO:0031984" "Golgi apparatus subcompartment" 0.949351333044206
-90 0.297408980326652 2 16 "GO:0098796" "membrane protein complex" 0.854418965784082
-229 0.104054146742883 4 6 "GO:0098797;GO:0034703;GO:0034702;GO:1902495;GO:1990351" "ion channel complex" 0.663729188569742
90 0.561005965743406 2 5 "GO:0098798" "mitochondrial protein-containing complex" 0.891038881633962
168 0.398574534110175 2 3 "GO:0098800" "inner mitochondrial membrane protein complex" 0.891038881633962
25 0.672012285529717 2 34 "GO:0099080" "supramolecular complex" 0.906225617645042
-74 0.377652637698974 2 17 "GO:0120025;GO:0042995" "plasma membrane bounded cell projection" 0.891038881633962
169 0.0255258637920501 2 21 "GO:0140513" "nuclear protein-containing complex" 0.530937966874642
-43 0.827440006120887 2 3 "GO:0140534" "endoplasmic reticulum protein-containing complex" 0.927886377488856
29 0.622807274026304 2 35 "GO:1902494" "catalytic complex" 0.891038881633962
1 0.992073994342525 2 7 "GO:1905368" "peptidase complex" 0.992073994342525
-18 0.788021422695322 2 27 "GO:1990234;GO:0140535" "intracellular protein-containing complex" 0.927886377488856
