gene,r
aten_0.1.m1.9669.m1,0
aten_0.1.m1.31138.m1,0.036160308
aten_0.1.m1.31139.m1,0.036160308
aten_0.1.m1.5804.m1,0
aten_0.1.m1.6017.m1,-0.197327036
aten_0.1.m1.6023.m1,-0.197327036
aten_0.1.m1.5051.m1,0.328389991
aten_0.1.m1.5053.m1,0.328389991
aten_0.1.m1.12906.m1,0.05345408
aten_0.1.m1.12903.m1,0.05345408
aten_0.1.m1.17480.m1,0
aten_0.1.m1.2496.m1,0
aten_0.1.m1.2500.m1,0
aten_0.1.m1.12191.m1,0.099034957
aten_0.1.m1.14192.m1,0
aten_0.1.m1.14186.m1,0
aten_0.1.m1.10100.m1,0.048805792
aten_0.1.m1.10101.m1,0.048805792
aten_0.1.m1.30132.m1,0
aten_0.1.m1.30145.m1,0
aten_0.1.m1.6469.m1,0
aten_0.1.m1.6468.m1,0
aten_0.1.m1.6478.m1,0
aten_0.1.m1.21154.m1,-0.016337945
aten_0.1.m1.37659.m1,0
aten_0.1.m1.36904.m1,0.090202561
aten_0.1.m1.36905.m1,0.090202561
aten_0.1.m1.16090.m1,0
aten_0.1.m1.16088.m1,0
aten_0.1.m1.16091.m1,0
aten_0.1.m1.16089.m1,0
aten_0.1.m1.12833.m1,0
aten_0.1.m1.12834.m1,0
aten_0.1.m1.12832.m1,0
aten_0.1.m1.33212.m1,0
aten_0.1.m1.1392.m1,0
aten_0.1.m1.827.m1,0
aten_0.1.m1.20206.m1,0
aten_0.1.m1.20205.m1,0
aten_0.1.m1.29082.m1,-0.029297099
aten_0.1.m1.29078.m1,-0.029297099
aten_0.1.m1.2830.m1,-0.050439911
aten_0.1.m1.2842.m1,-0.050439911
aten_0.1.m1.24975.m1,0
aten_0.1.m1.24974.m1,0
aten_0.1.m1.5914.m1,0
aten_0.1.m1.5912.m1,0
aten_0.1.m1.9821.m1,0
aten_0.1.m1.9822.m1,0
aten_0.1.m1.36015.m1,0
aten_0.1.m1.36019.m1,0
aten_0.1.m1.28579.m1,0.177961615
aten_0.1.m1.28585.m1,0.177961615
aten_0.1.m1.28581.m1,0.177961615
aten_0.1.m1.18477.m1,0.449155138
aten_0.1.m1.18478.m1,0.449155138
aten_0.1.m1.13784.m1,0
aten_0.1.m1.13798.m1,0
aten_0.1.m1.13799.m1,0
aten_0.1.m1.7215.m1,0
aten_0.1.m1.35851.m1,0
aten_0.1.m1.35853.m1,0
aten_0.1.m1.357.m1,-0.068066105
aten_0.1.m1.353.m1,-0.068066105
aten_0.1.m1.350.m1,-0.068066105
aten_0.1.m1.360.m1,-0.068066105
aten_0.1.m1.31432.m1,0
aten_0.1.m1.31434.m1,0
aten_0.1.m1.31431.m1,0
aten_0.1.m1.8985.m1,0
aten_0.1.m1.21317.m1,0.178587567
aten_0.1.m1.29400.m1,0
aten_0.1.m1.29399.m1,0
aten_0.1.m1.29402.m1,0
aten_0.1.m1.2952.m1,0
aten_0.1.m1.38276.m1,0.502760466
aten_0.1.m1.38278.m1,0.502760466
aten_0.1.m1.38277.m1,0.502760466
aten_0.1.m1.21156.m1,0
aten_0.1.m1.21152.m1,0
aten_0.1.m1.28057.m1,0
aten_0.1.m1.26175.m1,0.560295531
aten_0.1.m1.30347.m1,0.163412455
aten_0.1.m1.30353.m1,0.163412455
aten_0.1.m1.12761.m1,0.005437712
aten_0.1.m1.12763.m1,0.005437712
aten_0.1.m1.12760.m1,0.005437712
aten_0.1.m1.12764.m1,0.005437712
aten_0.1.m1.34330.m1,0
aten_0.1.m1.34332.m1,0
aten_0.1.m1.6495.m1,0
aten_0.1.m1.6498.m1,0
aten_0.1.m1.18384.m1,0
aten_0.1.m1.38057.m1,0
aten_0.1.m1.22871.m1,0
aten_0.1.m1.22870.m1,0
aten_0.1.m1.26033.m1,0
aten_0.1.m1.26035.m1,0
aten_0.1.m1.26029.m1,0
aten_0.1.m1.14780.m1,0.062343945
aten_0.1.m1.14776.m1,0.062343945
aten_0.1.m1.4787.m1,0
aten_0.1.m1.4784.m1,0
aten_0.1.m1.4791.m1,0
aten_0.1.m1.2036.m1,0
aten_0.1.m1.2033.m1,0
aten_0.1.m1.13562.m1,0
aten_0.1.m1.13577.m1,0
aten_0.1.m1.27202.m1,-0.13381848
aten_0.1.m1.27199.m1,-0.13381848
aten_0.1.m1.27206.m1,-0.13381848
aten_0.1.m1.3475.m1,0.855137432
aten_0.1.m1.3481.m1,0.855137432
aten_0.1.m1.1362.m1,0
aten_0.1.m1.7244.m1,0
aten_0.1.m1.7249.m1,0
aten_0.1.m1.16196.m1,0
aten_0.1.m1.36110.m1,0.310436447
aten_0.1.m1.36111.m1,0.310436447
aten_0.1.m1.3332.m1,0
aten_0.1.m1.13443.m1,0.314179699
aten_0.1.m1.13439.m1,0.314179699
aten_0.1.m1.18946.m1,0
aten_0.1.m1.27989.m1,0
aten_0.1.m1.27990.m1,0
aten_0.1.m1.12611.m1,-0.005848016
aten_0.1.m1.12604.m1,-0.005848016
aten_0.1.m1.31989.m1,0
aten_0.1.m1.21144.m1,0.051447212
aten_0.1.m1.21149.m1,0.051447212
aten_0.1.m1.7909.m1,0.24260453
aten_0.1.m1.7908.m1,0.24260453
aten_0.1.m1.32765.m1,0
aten_0.1.m1.15800.m1,5.55E-17
aten_0.1.m1.34715.m1,0
aten_0.1.m1.36629.m1,0
aten_0.1.m1.4195.m1,0
aten_0.1.m1.5242.m1,5.55E-17
aten_0.1.m1.5238.m1,5.55E-17
