"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-811 0.0523667722203684 5 2 "GO:0003958;GO:0016653" "NADPH-hemoprotein reductase activity" 0.776481227498345
-530 0.0282176357498921 4 6 "GO:0003964;GO:0034061" "RNA-directed DNA polymerase activity" 0.776481227498345
-25 0.953653596783709 2 2 "GO:0003980;GO:0035251;GO:0046527" "UDP-glucose:glycoprotein glucosyltransferase activity" 0.997887460183374
217 0.411210405953518 2 5 "GO:0003993" "acid phosphatase activity" 0.974549712503681
-31 0.927090795658928 2 3 "GO:0004017" "adenylate kinase activity" 0.997887460183374
-423 0.109447980061777 3 5 "GO:0004062;GO:0008146;GO:0016782" "aryl sulfotransferase activity" 0.846801780754555
-397 0.342578772210074 2 2 "GO:0004064" "arylesterase activity" 0.974549712503681
216 0.527242450553977 3 3 "GO:0004089" "carbonate dehydratase activity" 0.974549712503681
-88 0.657315826557732 3 9 "GO:0004096" "catalase activity" 0.993471855350615
2 0.996279753950333 5 4 "GO:0004111;GO:0016775" "phosphotransferase activity, nitrogenous group as acceptor" 0.997887460183374
107 0.798996185913439 4 2 "GO:0004114;GO:0004112" "3',5'-cyclic-nucleotide phosphodiesterase activity" 0.997887460183374
619 0.0698338562035217 3 3 "GO:0004129;GO:0009055;GO:0015002;GO:0016676;GO:0016675" "cytochrome-c oxidase activity" 0.811089933376911
255 0.541892859936343 4 2 "GO:0004165" "dodecenoyl-CoA delta-isomerase activity" 0.974549712503681
31 0.572678581598192 2 120 "GO:0004175;GO:0008233" "peptidase activity" 0.974549712503681
-216 0.605517178503268 4 2 "GO:0004176" "ATP-dependent peptidase activity" 0.974549712503681
758 0.00415523878823508 2 5 "GO:0004177" "aminopeptidase activity" 0.776481227498345
-197 0.293111812602516 3 10 "GO:0004180" "carboxypeptidase activity" 0.974549712503681
8 0.981651267637342 3 3 "GO:0004181;GO:0008235" "metalloexopeptidase activity" 0.997887460183374
30 0.930590705632665 2 3 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.997887460183374
-3 0.98713051103019 2 11 "GO:0004197;GO:0008234" "cysteine-type peptidase activity" 0.997887460183374
-280 0.411865554726018 4 3 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.974549712503681
53 0.591419381918304 3 36 "GO:0004222;GO:0008237" "metallopeptidase activity" 0.974549712503681
-62 0.51874281090248 3 38 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.974549712503681
-454 0.276820272066544 2 2 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity" 0.974549712503681
-252 0.546666292993039 3 2 "GO:0004312" "fatty acid synthase activity" 0.974549712503681
-279 0.505235389692706 5 2 "GO:0004322;GO:0016724" "ferroxidase activity" 0.974549712503681
316 0.450277900986391 5 2 "GO:0004362;GO:0015038;GO:0016668;GO:0015037;GO:0015036" "peptide disulfide oxidoreductase activity" 0.974549712503681
244 0.474961729223936 4 3 "GO:0004364" "glutathione transferase activity" 0.974549712503681
211 0.537200658387165 3 3 "GO:0004386" "helicase activity" 0.974549712503681
101 0.810123735295146 4 2 "GO:0004438;GO:0052744;GO:0052866" "phosphatidylinositol monophosphate phosphatase activity" 0.997887460183374
387 0.354282884663178 4 2 "GO:0004457" "lactate dehydrogenase activity" 0.974549712503681
-242 0.413309330440706 3 4 "GO:0004485;GO:0016421;GO:0016885" "ligase activity, forming carbon-carbon bonds" 0.974549712503681
-124 0.305605166691354 2 24 "GO:0004497" "monooxygenase activity" 0.974549712503681
-409 0.327263931406925 5 2 "GO:0004499;GO:0016709" "N,N-dimethylaniline monooxygenase activity" 0.974549712503681
302 0.254157766636073 5 5 "GO:0004500;GO:0016715" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen" 0.974549712503681
-440 0.136242682441935 4 4 "GO:0004508;GO:0008395" "steroid hydroxylase activity" 0.93196351541246
-22 0.958427001667308 2 2 "GO:0004514" "nicotinate-nucleotide diphosphorylase (carboxylating) activity" 0.997887460183374
-54 0.609346142974259 2 32 "GO:0004518" "nuclease activity" 0.974549712503681
-145 0.397325074764287 2 12 "GO:0004519" "endonuclease activity" 0.974549712503681
-296 0.220419709689034 5 6 "GO:0004527" "exonuclease activity" 0.974549712503681
-5 0.968292195445005 4 21 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.997887460183374
177 0.502324583633237 6 5 "GO:0004559;GO:0015923" "mannosidase activity" 0.974549712503681
-101 0.809659303447469 3 2 "GO:0004563;GO:0015929" "beta-N-acetylhexosaminidase activity" 0.997887460183374
-141 0.678890545166417 3 3 "GO:0004565;GO:0015925" "beta-galactosidase activity" 0.993471855350615
145 0.166741076239929 2 32 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.93196351541246
32 0.852172566908558 2 12 "GO:0004620" "phospholipase activity" 0.997887460183374
105 0.664387696020169 2 6 "GO:0004622" "lysophospholipase activity" 0.993471855350615
-372 0.372949040421125 2 2 "GO:0004623" "phospholipase A2 activity" 0.974549712503681
8 0.985180775887368 4 2 "GO:0004653" "polypeptide N-acetylgalactosaminyltransferase activity" 0.997887460183374
-307 0.299629357501732 5 4 "GO:0004656;GO:0019798;GO:0031545;GO:0031543;GO:0016706;GO:0051213" "dioxygenase activity" 0.974549712503681
-103 0.0441963113350938 2 142 "GO:0004672;GO:0016301;GO:0016773;GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.776481227498345
1 0.99250250434876 2 68 "GO:0004674" "protein serine/threonine kinase activity" 0.997887460183374
295 0.38776558484078 5 3 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.974549712503681
8 0.985180775887368 2 2 "GO:0004689" "phosphorylase kinase activity" 0.997887460183374
255 0.541892859936343 4 2 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.974549712503681
-188 0.0739715136508144 2 32 "GO:0004713" "protein tyrosine kinase activity" 0.811089933376911
-311 0.0189714550254404 2 20 "GO:0004714;GO:0019199" "transmembrane receptor protein kinase activity" 0.776481227498345
-188 0.653160388145112 3 2 "GO:0004715" "non-membrane spanning protein tyrosine kinase activity" 0.993471855350615
-87 0.51248072764424 2 20 "GO:0004721" "phosphoprotein phosphatase activity" 0.974549712503681
-500 0.142635164071683 4 3 "GO:0004722" "protein serine/threonine phosphatase activity" 0.93196351541246
-8 0.966302757514186 2 11 "GO:0004725" "protein tyrosine phosphatase activity" 0.997887460183374
-11 0.980401225298006 5 2 "GO:0004745" "retinol dehydrogenase activity" 0.997887460183374
-183 0.591743389812019 5 3 "GO:0004748;GO:0061731;GO:0016728" "ribonucleoside-diphosphate reductase activity" 0.974549712503681
568 0.174364044709147 5 2 "GO:0004753;GO:0016646;GO:0016645" "saccharopine dehydrogenase activity" 0.951405452276872
8 0.985180775887368 2 2 "GO:0004766" "spermidine synthase activity" 0.997887460183374
-409 0.327263931406925 5 2 "GO:0004768;GO:0016215;GO:0016717" "acyl-CoA desaturase activity" 0.974549712503681
-252 0.546666292993039 3 2 "GO:0004769" "steroid delta-isomerase activity" 0.974549712503681
341 0.415147520563808 3 2 "GO:0004784;GO:0016721" "superoxide dismutase activity" 0.974549712503681
168 0.570037673142509 2 4 "GO:0004806" "triglyceride lipase activity" 0.974549712503681
-32 0.940297449371418 5 2 "GO:0004838;GO:0070547" "L-tyrosine aminotransferase activity" 0.997887460183374
-737 0.0777402492054547 3 2 "GO:0004839;GO:0008641" "ubiquitin-like modifier activating enzyme activity" 0.811089933376911
8 0.939232483512279 4 33 "GO:0004842;GO:0019787" "ubiquitin-protein transferase activity" 0.997887460183374
