"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
8 0.985180775887368 4 2 "GO:0016842" "amidine-lyase activity" 0.997887460183374
40 0.840575247000766 2 9 "GO:0016853" "isomerase activity" 0.997887460183374
-216 0.605517178503268 2 2 "GO:0016859" "cis-trans isomerase activity" 0.974549712503681
2 0.996279753950333 2 4 "GO:0016863;GO:0016860" "intramolecular oxidoreductase activity, transposing C=C bonds" 0.997887460183374
-193 0.357186655836997 2 8 "GO:0016874" "ligase activity" 0.974549712503681
-489 0.151922611320012 3 3 "GO:0016877" "ligase activity, forming carbon-sulfur bonds" 0.93196351541246
-24 0.902946938562727 2 9 "GO:0016887" "ATPase activity" 0.997887460183374
-179 0.599203703092239 2 3 "GO:0016903" "oxidoreductase activity, acting on the aldehyde or oxo group of donors" 0.974549712503681
70 0.562932640666631 2 24 "GO:0016917" "GABA receptor activity" 0.974549712503681
-25 0.767489354474899 3 52 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides" 0.997887460183374
-397 0.342578772210074 3 2 "GO:0019104;GO:0016799" "DNA N-glycosylase activity" 0.974549712503681
-307 0.463325625476081 2 2 "GO:0019200" "carbohydrate kinase activity" 0.974549712503681
-3 0.988231687485468 2 7 "GO:0019205" "nucleobase-containing compound kinase activity" 0.997887460183374
-372 0.372949040421125 2 2 "GO:0019206" "nucleoside kinase activity" 0.974549712503681
108 0.751918621933721 2 3 "GO:0019842" "vitamin binding" 0.997887460183374
-181 0.0440588868012454 5 44 "GO:0022836" "gated channel activity" 0.776481227498345
-223 0.0367119400326946 6 31 "GO:0022843;GO:0005244;GO:0022832" "voltage-gated channel activity" 0.776481227498345
-44 0.506052478264246 2 84 "GO:0022890;GO:0008324;GO:0046873" "cation transmembrane transporter activity" 0.974549712503681
-48 0.628416697864146 2 36 "GO:0030234" "enzyme regulator activity" 0.976275859448842
8 0.985180775887368 2 2 "GO:0030246" "carbohydrate binding" 0.997887460183374
-37 0.899817689020594 3 4 "GO:0030594" "neurotransmitter receptor activity" 0.997887460183374
-47 0.718166366718195 2 21 "GO:0030695;GO:0060589" "GTPase regulator activity" 0.997887460183374
235 0.137879432022177 2 14 "GO:0033218;GO:0001540;GO:0042277" "amide binding" 0.93196351541246
-202 0.554442106466674 2 3 "GO:0035091" "phosphatidylinositol binding" 0.974549712503681
-3 0.979438175272585 4 34 "GO:0042578;GO:0016791" "phosphoric ester hydrolase activity" 0.997887460183374
8 0.817567166547842 2 300 "GO:0043167" "ion binding" 0.997887460183374
-2 0.988171563693218 2 25 "GO:0044877;GO:0005178;GO:0050839" "protein-containing complex binding" 0.997887460183374
22 0.621621329564038 3 199 "GO:0046872;GO:0043169" "metal ion binding" 0.976275859448842
-710 0.0892738355544673 2 2 "GO:0046912" "transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer" 0.846748803895402
12 0.909409681988084 2 34 "GO:0046914" "transition metal ion binding" 0.997887460183374
272 0.30285261016704 2 5 "GO:0046915" "transition metal ion transmembrane transporter activity" 0.974549712503681
62 0.796435132884353 3 6 "GO:0047869;GO:0016846" "carbon-sulfur lyase activity" 0.997887460183374
-170 0.564581594973857 3 4 "GO:0048018;GO:0030546;GO:0030545" "receptor ligand activity" 0.974549712503681
144 0.585015110068709 2 5 "GO:0050145;GO:0016776" "phosphotransferase activity, phosphate group as acceptor" 0.974549712503681
-51 0.708275151854886 2 19 "GO:0052689" "carboxylic ester hydrolase activity" 0.997887460183374
255 0.541892859936343 2 2 "GO:0070568" "guanylyltransferase activity" 0.974549712503681
-110 0.746354053485496 2 3 "GO:0072341" "modified amino acid binding" 0.997887460183374
509 0.00992149514088519 2 9 "GO:0090079;GO:0045182" "translation regulator activity, nucleic acid binding" 0.776481227498345
32 0.33277978096322 2 401 "GO:0097159;GO:1901363" "organic cyclic compound binding" 0.974549712503681
-77 0.361201893990131 1 50 "GO:0098772" "molecular function regulator" 0.974549712503681
-50 0.790199530208413 2 10 "GO:0099094;GO:0015276;GO:0022834" "ligand-gated ion channel activity" 0.997887460183374
-21 0.569910172163046 2 299 "GO:0140096" "catalytic activity, acting on a protein" 0.974549712503681
-232 0.117237870342446 2 16 "GO:0140097" "catalytic activity, acting on DNA" 0.853382637608967
-296 0.0970941301155796 2 11 "GO:0140098" "catalytic activity, acting on RNA" 0.846801780754555
-157 0.515514219872683 3 6 "GO:0140101" "catalytic activity, acting on a tRNA" 0.974549712503681
-409 0.166240807654601 3 4 "GO:0140297;GO:0008134" "transcription factor binding" 0.93196351541246
8 0.985180775887368 4 2 "GO:1901618" "organic hydroxy compound transmembrane transporter activity" 0.997887460183374
